 v-sweep         v(VREF)         v(VIN)          v(VOUT)        
 3.50000000e-01  2.50000000e-01  3.50000000e-01  1.63044187e+00 
 3.51000000e-01  2.50000000e-01  3.51000000e-01  1.63269075e+00 
 3.52000000e-01  2.50000000e-01  3.52000000e-01  1.63490313e+00 
 3.53000000e-01  2.50000000e-01  3.53000000e-01  1.63708128e+00 
 3.54000000e-01  2.50000000e-01  3.54000000e-01  1.63922844e+00 
 3.55000000e-01  2.50000000e-01  3.55000000e-01  1.64134661e+00 
 3.56000000e-01  2.50000000e-01  3.56000000e-01  1.64343625e+00 
 3.57000000e-01  2.50000000e-01  3.57000000e-01  1.64550001e+00 
 3.58000000e-01  2.50000000e-01  3.58000000e-01  1.64753901e+00 
 3.59000000e-01  2.50000000e-01  3.59000000e-01  1.64955511e+00 
 3.60000000e-01  2.50000000e-01  3.60000000e-01  1.65154696e+00 
